input(v_pp), output(v_pp), frequency
4.48, 0.250, 47
4.48, 0.480, 100
4.48, 0.630, 150
4.48, 0.740, 200
4.48, 0.820, 259.3
4.48, 0.860, 304.5
4.48, 0.900, 350.2
4.48, 0.920, 401.1
4.48, 0.960, 497.3
4.48, 0.980, 552.9
4.48, 1.001, 604.2
4.48, 1.001, 654
4.48, 1.001, 706
4.48, 1.042, 807
4.48, 1.061, 904
4.48, 1.061, 1016
4.48, 1.081, 1128
4.48, 1.101, 1211
4.48, 1.141, 1540
4.48, 1.201, 2001
4.48, 1.24, 2503
4.32, 1.30, 3003
4.32, 1.34, 3494
4.24, 1.441, 4999
4.00, 1.641, 10250
4.00, 1.721, 15570
3.84, 1.821, 49100
3.84, 1.821, 102300
3.84, 1.881, 500600
3.76, 1.881, 1508000
3.201, 1.521, 5030000
